icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
a77dae,1749231158.0,KSLC,1749247973,KEWR,DAL2033 ,856.0,31.0,1479,70,1,5
48ae02,1749215374.0,EPWA,1749247837,KEWR,LOT1MU  ,1728.0,49.0,1585,70,1,5
a1240a,1749239791.0,,1749247764,KEWR,UAL681  ,,,1087,40,0,5
a05a25,1749239174.0,KORD,1749247662,KEWR,UAL2649 ,1661.0,183.0,1481,63,1,5
a5d623,1749239481.0,KATL,1749247583,KEWR,UAL555  ,1027.0,30.0,1056,40,1,5
a4493e,1749234753.0,,1749247449,KEWR,UAL620  ,,,1536,63,0,5
a8e8a0,1749212380.0,,1749247349,KEWR,UAL967  ,,,1435,63,0,5
a9f502,1749202448.0,RJTT,1749247219,KEWR,UAL130  ,1376.0,19.0,1502,70,0,5
a459a6,1749244411.0,KFOK,1749246542,KEWR,N38HF   ,5945.0,276.0,5870,70,2,5
a5cc3c,1749212707.0,KEWR,1749245708,KEWR,UAL1880 ,1682.0,32.0,2216,70,1,5
a4418c,1749236349.0,TXKF,1749245535,KEWR,UAL2392 ,866.0,64.0,1357,24,0,5
aa2ba5,1749234753.0,KMIA,1749245388,KEWR,UAL1772 ,2583.0,96.0,2268,78,1,5
a3b268,1749234131.0,,1749245080,KEWR,UAL1513 ,,,1631,47,0,5
a4491c,1749235500.0,,1749245001,KEWR,UAL1628 ,,,658,9,0,5
a44585,1749232095.0,KIAH,1749244918,KEWR,UAL2722 ,2915.0,122.0,903,9,0,5
aaf183,1749228864.0,TNCA,1749244638,KEWR,JBU2420 ,1365.0,172.0,1852,55,0,5
a8deda,1749231217.0,TJSJ,1749244513,KEWR,UAL1173 ,4347.0,393.0,2322,78,1,5
a12f70,1749211898.0,KEWR,1749244339,KEWR,UAL2489 ,200.0,5.0,2270,85,1,5
a05b78,1749236970.0,KMSP,1749244001,KEWR,DAL2866 ,1846.0,109.0,1432,55,2,5
a081ca,1749216872.0,EGPH,1749243413,KEWR,UAL162  ,242.0,96.0,1663,93,0,5
aa44d0,1749210271.0,LIRF,1749242764,KEWR,UAL509  ,844.0,133.0,1401,63,0,5
ad3997,1749237009.0,KCLT,1749242563,KEWR,AAL3258 ,2977.0,213.0,1042,40,0,5
a5e880,1749241418.0,KLGA,1749242359,KEWR,N48ZA   ,734.0,31.0,6264,55,0,5
acbcfd,1749241171.0,KEWR,1749242202,KEWR,N92N    ,1028.0,116.0,5014,85,1,6
a1d49e,1749240672.0,KEWR,1749242144,KEWR,N217MH  ,5722.0,85.0,5646,55,1,5
a445f2,1749235641.0,KORD,1749242130,KEWR,UAL303  ,1900.0,160.0,1436,55,1,5
c050ae,1749225500.0,CYVR,1749242047,KEWR,ACA548  ,1265.0,79.0,1061,40,0,5
a2a536,1749240720.0,KJFK,1749241806,KEWR,N27M    ,2896.0,26.0,6508,85,0,6
aa44cf,1749209365.0,,1749241738,KEWR,UAL386  ,,,1263,55,0,5
a3bbaa,1749238410.0,KLOM,1749241721,KEWR,N34HF   ,14994.0,45.0,5753,55,0,5
aa9600,1749224651.0,KLAX,1749241375,KEWR,UAL2096 ,904.0,91.0,1095,40,2,5
a224f9,1749229380.0,KDFW,1749241277,KEWR,UAL1180 ,1896.0,234.0,1090,40,2,5
a4e800,1749235039.0,KEWR,1749241137,KEWR,N415PH  ,13455.0,63.0,13922,63,1,4
a4b7d7,1749223831.0,KLAX,1749241097,KEWR,ASA284  ,1048.0,121.0,872,24,2,5
4cabd4,1749215317.0,EIDW,1749240885,KEWR,EIN10M  ,2250.0,71.0,1278,55,1,5
c060b2,1749236181.0,CYTZ,1749240773,KEWR,PTR2135 ,189.0,14.0,1297,47,1,5
acdfa3,1749224515.0,KSAN,1749240674,KEWR,ASA302  ,1088.0,93.0,1577,63,2,5
a4c03c,1749239581.0,KEWR,1749240495,KEWR,405LP   ,5346.0,70.0,5601,47,1,5
3c4b32,1749211263.0,EDDF,1749240414,KEWR,DLH402  ,2132.0,33.0,620,17,1,5
a16037,1749226033.0,KPHX,1749240246,KEWR,AAL535  ,1092.0,27.0,1312,47,1,5
a8f338,1749231330.0,KFLL,1749240165,KEWR,NKS2691 ,1578.0,73.0,1125,40,2,5
a254dd,1749198707.0,RJAA,1749239992,KEWR,UAL78   ,2021.0,48.0,2196,93,0,5
a5ef0e,1749214187.0,EIDW,1749239809,KEWR,UAL316  ,1973.0,71.0,1401,55,1,5
aa1ffc,1749233472.0,KSDF,1749239727,KEWR,RPA3412 ,1716.0,136.0,824,24,2,5
a569c4,1749229126.0,KAPA,1749239477,KEWR,EJM448  ,656.0,33.0,1440,63,0,5
a650d9,1749236725.0,KROC,1749239236,KEWR,GJS4547 ,1121.0,4.0,1054,47,1,5
a4b205,1749235805.0,KEWR,1749239216,KEWR,N401TD  ,13808.0,55.0,13605,17,1,4
a5cf66,1749230492.0,,1749239090,KEWR,UAL661  ,,,1069,32,0,5
a74679,1749228211.0,KDFW,1749239007,KEWR,AAL1794 ,1831.0,150.0,1080,32,2,5
a4497f,1749227502.0,MBPV,1749238933,KEWR,UAL1466 ,1070.0,35.0,1114,32,0,5
a8f77c,1749211774.0,EGLL,1749238818,KEWR,UAL147  ,1232.0,127.0,1371,55,3,5
a996e1,1749234316.0,KDTW,1749238769,KEWR,DAL2573 ,1058.0,85.0,634,17,1,5
a9d4b5,1749232472.0,CYHZ,1749238649,KEWR,RPA3596 ,12603.0,1233.0,1151,40,0,5
a86a28,1749233160.0,KCHS,1749238584,KEWR,NKS2695 ,2242.0,191.0,450,9,0,5
a2e806,1749221251.0,KPDX,1749238406,KEWR,ASA294  ,453.0,32.0,987,32,2,5
39b44e,1749206244.0,LIMC,1749238313,KEWR,DJT300  ,1551.0,51.0,1656,70,2,5
a05669,1749197897.0,LLBG,1749238089,KEWR,UAL85   ,950.0,4.0,1551,55,1,5
a4adf0,1749229056.0,,1749238000,KEWR,N400PK  ,,,1133,32,0,5
c035bf,1749233136.0,CYYZ,1749237917,KEWR,JZA878  ,1807.0,5.0,1125,40,1,5
a40aa8,1749235458.0,KLGA,1749237759,KEWR,N36HF   ,9198.0,8.0,13577,40,1,4
a8b75f,1749210050.0,LFPG,1749237706,KEWR,UAL55   ,2193.0,63.0,1451,55,2,5
a923a7,1749226781.0,KDEN,1749237596,KEWR,UAL2058 ,4091.0,74.0,1101,32,4,5
a1ad1f,1749235908.0,KEWR,1749237574,KEWR,N207MH  ,5392.0,70.0,5644,55,1,5
a1d811,1749234322.0,KBOS,1749237498,KEWR,RPA5829 ,1030.0,1.0,1060,32,0,5
a46d26,1749221173.0,KSAN,1749237385,KEWR,UAL1353 ,1724.0,116.0,1078,32,2,5
a11fc7,1749220085.0,KSFO,1749237300,KEWR,UAL2856 ,316.0,3.0,1412,55,0,5
a46d8f,1749229418.0,KMCO,1749237223,KEWR,UAL1866 ,10074.0,687.0,589,9,0,5
a9cf55,1749233409.0,RI20,1749237104,KEWR,N731FX  ,2940.0,896.0,1525,63,1,5
478f47,1749207861.0,EKCH,1749236939,KEWR,SAS909  ,3618.0,276.0,1046,32,0,5
a923ee,1749231152.0,KORD,1749236769,KEWR,UAL1205 ,1798.0,153.0,1080,32,1,5
a31216,1749220140.0,KSNA,1749236584,KEWR,UAL1900 ,1520.0,89.0,1072,32,0,5
a8a87e,1749205263.0,LFMN,1749236473,KEWR,UAL273  ,990.0,34.0,1078,40,0,5
a85ff5,1749227522.0,,1749236380,KEWR,JBU1912 ,,,1071,40,0,5
a5fa9f,1749235501.0,KEWR,1749236331,KEWR,N4846   ,4964.0,93.0,5650,47,0,5
a8bd6a,1749209083.0,EGLL,1749236290,KEWR,UAL17   ,1405.0,203.0,360,17,3,5
aa1c45,1749231273.0,26MI,1749236213,KEWR,RPA3488 ,13655.0,1379.0,413,9,1,5
39d2af,1749208382.0,LFPG,1749236062,KEWR,AFR62P  ,1973.0,154.0,1039,40,2,5
aa7f2b,1749227431.0,,1749235966,KEWR,UAL1197 ,,,1050,32,0,5
a2b130,1749219810.0,MMMX,1749235804,KEWR,UAL1064 ,5279.0,421.0,1104,32,0,5
495305,1749209761.0,LPPT,1749235696,KEWR,TAP201  ,4078.0,388.0,1082,40,2,5
a0a8da,1749210645.0,LPPR,1749235522,KEWR,UAL145  ,1931.0,82.0,907,32,1,5
a9e642,1749227750.0,KMCO,1749235405,KEWR,NKS2551 ,8805.0,717.0,1090,40,0,5
a8e24d,1749219543.0,KLAX,1749235302,KEWR,UAL1695 ,679.0,106.0,803,24,2,5
ac7e60,1749228775.0,KATL,1749235037,KEWR,DAL2322 ,1118.0,46.0,1043,32,1,5
a99bba,1749229044.0,KEWR,1749234959,KEWR,N718WA  ,5270.0,24.0,5601,55,1,5
adbe91,1749218573.0,KLAX,1749234834,KEWR,JBU2074 ,680.0,83.0,1064,24,2,5
a80777,1749233130.0,KEWR,1749234778,KEWR,N6160Y  ,4996.0,78.0,5546,47,0,5
c00b71,1749231061.0,CYUL,1749234689,KEWR,JZA940  ,1019.0,5.0,1084,32,0,5
a4b205,1749232118.0,KEWR,1749234623,KEWR,N401TD  ,13607.0,20.0,13508,9,1,4
aa88fb,1749227820.0,KSTL,1749234586,KEWR,RPA3684 ,2277.0,124.0,846,24,1,5
a8b760,1749202041.0,LIPZ,1749234415,KEWR,UAL169  ,1742.0,58.0,1083,32,1,5
acbcfd,1749231614.0,KEWR,1749234365,KEWR,N92N    ,4905.0,85.0,1332,85,0,5
ad727a,1749218169.0,KSEA,1749234322,KEWR,ASA280  ,871.0,5.0,1409,40,2,5
a4e800,1749231680.0,KEWR,1749234201,KEWR,N415PH  ,13754.0,17.0,13795,24,1,4
a49510,1749219098.0,KLAS,1749234148,KEWR,UAL583  ,1524.0,39.0,909,24,1,5
a45915,1749232502.0,3NJ1,1749234097,KEWR,N38BL   ,3545.0,254.0,5465,24,6,5
